reading_package	manip_package	op	type	time	size	max_memory	rows	cols
arrow	arrow	setup	process	0.4243632860000002	400248755	24890834944	1000000	25
arrow	arrow	setup	real	0.4282519817352295	400248755	24890834944	1000000	25
arrow	arrow	read	process	4.802103337	400248755	24890834944	1000000	25
arrow	arrow	read	real	0.24086308479309082	400248755	24890834944	1000000	25
arrow	arrow	print	process	0.06949185799999924	400248755	24890834944	1000000	25
arrow	arrow	print	real	0.06949543952941895	400248755	24890834944	1000000	25
arrow	arrow	head	process	7.830369999997089e-4	400248755	24890834944	1000000	25
arrow	arrow	head	real	7.865428924560547e-4	400248755	24890834944	1000000	25
arrow	arrow	tail	process	0.0013857020000003217	400248755	24890834944	1000000	25
arrow	arrow	tail	real	0.0013887882232666016	400248755	24890834944	1000000	25
arrow	arrow	sample	process	0.09479171599999958	400248755	24890834944	1000000	25
arrow	arrow	sample	real	0.11198282241821289	400248755	24890834944	1000000	25
arrow	arrow	filter	process	0.0637539450000002	400248755	24890834944	1000000	25
arrow	arrow	filter	real	0.06375670433044434	400248755	24890834944	1000000	25
arrow	arrow	aggregate	process	1.4258091569999998	400248755	24890834944	1000000	25
arrow	arrow	aggregate	real	1.3469045162200928	400248755	24890834944	1000000	25
arrow	dplyr	setup	process	0.4287180580000003	400248755	26600337408	1000000	25
arrow	dplyr	setup	real	0.43274736404418945	400248755	26600337408	1000000	25
arrow	dplyr	read	process	37.956095105	400248755	26600337408	1000000	25
arrow	dplyr	read	real	33.08669352531433	400248755	26600337408	1000000	25
arrow	dplyr	print	process	0.1096909179999983	400248755	26600337408	1000000	25
arrow	dplyr	print	real	0.10969305038452148	400248755	26600337408	1000000	25
arrow	dplyr	head	process	1.9612899999543743e-4	400248755	26600337408	1000000	25
arrow	dplyr	head	real	1.990795135498047e-4	400248755	26600337408	1000000	25
arrow	dplyr	tail	process	4.656919999987963e-4	400248755	26600337408	1000000	25
arrow	dplyr	tail	real	4.684925079345703e-4	400248755	26600337408	1000000	25
arrow	dplyr	sample	process	0.010559032000003299	400248755	26600337408	1000000	25
arrow	dplyr	sample	real	0.01056218147277832	400248755	26600337408	1000000	25
arrow	dplyr	filter	process	0.01576063999999633	400248755	26600337408	1000000	25
arrow	dplyr	filter	real	0.01576375961303711	400248755	26600337408	1000000	25
arrow	dplyr	aggregate	process	0.30953620100000023	400248755	26600337408	1000000	25
arrow	dplyr	aggregate	real	0.3095383644104004	400248755	26600337408	1000000	25
data.table	data.table	setup	process	0.058305233000000456	400248755	12317282304	1000000	25
data.table	data.table	setup	real	0.05830669403076172	400248755	12317282304	1000000	25
data.table	data.table	read	process	38.3637835	400248755	12317282304	1000000	25
data.table	data.table	read	real	36.02532696723938	400248755	12317282304	1000000	25
data.table	data.table	print	process	0.09479118499999828	400248755	12317282304	1000000	25
data.table	data.table	print	real	0.017809152603149414	400248755	12317282304	1000000	25
data.table	data.table	head	process	3.414450000036595e-4	400248755	12317282304	1000000	25
data.table	data.table	head	real	3.4356117248535156e-4	400248755	12317282304	1000000	25
data.table	data.table	tail	process	2.740150000022368e-4	400248755	12317282304	1000000	25
data.table	data.table	tail	real	2.760887145996094e-4	400248755	12317282304	1000000	25
data.table	data.table	sample	process	0.06949582400000054	400248755	12317282304	1000000	25
data.table	data.table	sample	real	0.003184795379638672	400248755	12317282304	1000000	25
data.table	data.table	filter	process	0.23972691899999887	400248755	12317282304	1000000	25
data.table	data.table	filter	real	0.017302989959716797	400248755	12317282304	1000000	25
data.table	data.table	aggregate	process	0.3817091239999968	400248755	12317282304	1000000	25
data.table	data.table	aggregate	real	0.2894415855407715	400248755	12317282304	1000000	25
read.delim	base	setup	process	3.1700000002743423e-6	400248755	11261894656	1000000	25
read.delim	base	setup	real	5.245208740234375e-6	400248755	11261894656	1000000	25
read.delim	base	read	process	89.778580473	400248755	11261894656	1000000	25
read.delim	base	read	real	89.82224655151367	400248755	11261894656	1000000	25
read.delim	base	print	process	0.00831882100000314	400248755	11261894656	1000000	25
read.delim	base	print	real	0.008320331573486328	400248755	11261894656	1000000	25
read.delim	base	head	process	2.8536799999301365e-4	400248755	11261894656	1000000	25
read.delim	base	head	real	2.865791320800781e-4	400248755	11261894656	1000000	25
read.delim	base	tail	process	5.308659999911924e-4	400248755	11261894656	1000000	25
read.delim	base	tail	real	5.321502685546875e-4	400248755	11261894656	1000000	25
read.delim	base	sample	process	0.0012686470000033978	400248755	11261894656	1000000	25
read.delim	base	sample	real	0.0012705326080322266	400248755	11261894656	1000000	25
read.delim	base	filter	process	0.029024877999987098	400248755	11261894656	1000000	25
read.delim	base	filter	real	0.029026269912719727	400248755	11261894656	1000000	25
read.delim	base	aggregate	process	0.433677234000001	400248755	11261894656	1000000	25
read.delim	base	aggregate	real	0.43368005752563477	400248755	11261894656	1000000	25
readr	dplyr	setup	process	0.3771658630000001	400248755	11051831296	1000000	25
readr	dplyr	setup	real	0.379835844039917	400248755	11051831296	1000000	25
readr	dplyr	read	process	53.629359304	400248755	11051831296	1000000	25
readr	dplyr	read	real	53.62894153594971	400248755	11051831296	1000000	25
readr	dplyr	print	process	0.10664367399999719	400248755	11051831296	1000000	25
readr	dplyr	print	real	0.1066436767578125	400248755	11051831296	1000000	25
readr	dplyr	head	process	2.4190399999923784e-4	400248755	11051831296	1000000	25
readr	dplyr	head	real	2.4318695068359375e-4	400248755	11051831296	1000000	25
readr	dplyr	tail	process	4.8104099999335403e-4	400248755	11051831296	1000000	25
readr	dplyr	tail	real	4.8232078552246094e-4	400248755	11051831296	1000000	25
readr	dplyr	sample	process	0.01058423199999936	400248755	11051831296	1000000	25
readr	dplyr	sample	real	0.010585546493530273	400248755	11051831296	1000000	25
readr	dplyr	filter	process	0.015649363000001415	400248755	11051831296	1000000	25
readr	dplyr	filter	real	0.01565074920654297	400248755	11051831296	1000000	25
readr	dplyr	aggregate	process	0.3701701290000017	400248755	11051831296	1000000	25
readr	dplyr	aggregate	real	0.3701651096343994	400248755	11051831296	1000000	25
vroom	base	setup	process	0.1880737959999994	400248755	9658179584	1000000	25
